created_date,Price,Area,Bedrooms,Bathrooms,Parking_Spaces,extract_date,Latitude,Longitude,Rua,Bairro
2018-03-27,1300000.0,90,3,3,2,2024-11-25,-23.646251584244236,-46.66469881394303,Avenida Damasceno Vieira 660,Vila Mascote
2023-05-10,960000.0,84,3,3,2,2024-11-25,-23.52979815,-46.70429719971405,Rua Tonelero 201,Vila Ipojuca
2018-03-27,830000.0,80,3,3,2,2024-11-25,-23.615585373599497,-46.635555565879706,Rua Itapiru,Saúde
2019-06-14,1075000.0,84,3,3,2,2024-11-25,-23.5704471,-46.7079033,Rua Engenheiro Bianor 116,Butantã
2021-02-08,1700000.0,114,3,3,2,2024-11-25,-23.61090705,-46.66036110752038,Alameda dos Aicás 956,Indianópolis
2018-03-27,690000.0,71,3,3,2,2024-11-25,-23.6342207562844,-46.73503521868481,Rua Delegado Moraes Novaes 175,Vila Andrade
2018-03-27,3100000.0,165,3,3,3,2024-11-25,-23.5402524,-46.5766424,Não Informado,Tatuapé
2018-03-27,4850000.0,181,3,3,3,2024-11-25,-23.60347805,-46.66388079993412,Alameda dos Arapanés 631,Moema
2022-11-16,3300000.0,229,3,3,3,2024-11-25,-23.57416005617354,-46.64740809458135,Rua Sampaio Viana,Paraíso
2020-12-16,2089990.0,157,3,3,3,2024-11-25,-23.53248898364188,-46.71803529651695,Rua Jorge Americano 475,Alto da Lapa
2018-03-27,1000000.0,90,3,3,3,2024-11-25,-23.64686490610052,-46.6687691075628,Rua Praia do Castelo 210,Vila Mascote
2018-03-27,1280000.0,285,3,3,3,2024-11-25,-23.56781785,-46.66117391528151,Alameda Lorena 878,Jardim Paulista
2022-06-08,1350000.0,158,3,3,3,2024-11-25,-23.5730763167496,-46.59138820481397,Rua Vitoantônio Del Vecchio 226,Parque da Mooca
2022-08-29,1099000.0,110,3,3,4,2024-11-25,-23.53118665,-46.68456185465483,Rua Cotoxó 472,Perdizes
2019-01-09,4800000.0,98,3,3,11,2024-11-25,-23.50217415,-46.700574445806254,Avenida Paula Ferreira 89,Freguesia do Ó
